Date,Location,State,Latitude,Longitude,MinTemp,MaxTemp,Rainfall
1/12/2008,Albury,New South Wales,-36.0737,146.9135,13.4,22.9,0.6
2/12/2008,Albury,New South Wales,-36.0737,146.9135,7.4,25.1,0
3/12/2008,Albury,New South Wales,-36.0737,146.9135,12.9,25.7,0
4/12/2008,Albury,New South Wales,-36.0737,146.9135,9.2,28,0
5/12/2008,Albury,New South Wales,-36.0737,146.9135,17.5,32.3,1
6/12/2008,Albury,New South Wales,-36.0737,146.9135,14.6,29.7,0.2
7/12/2008,Albury,New South Wales,-36.0737,146.9135,14.3,25,0
8/12/2008,Albury,New South Wales,-36.0737,146.9135,7.7,26.7,0
9/12/2008,Albury,New South Wales,-36.0737,146.9135,9.7,31.9,0
10/12/2008,Albury,New South Wales,-36.0737,146.9135,13.1,30.1,1.4
11/12/2008,Albury,New South Wales,-36.0737,146.9135,13.4,30.4,0
12/12/2008,Albury,New South Wales,-36.0737,146.9135,15.9,21.7,2.2
13/12/2008,Albury,New South Wales,-36.0737,146.9135,15.9,18.6,15.6
14/12/2008,Albury,New South Wales,-36.0737,146.9135,12.6,21,3.6
15/12/2008,Albury,New South Wales,-36.0737,146.9135,8.4,24.6,0
16/12/2008,Albury,New South Wales,-36.0737,146.9135,9.8,27.7,
17/12/2008,Albury,New South Wales,-36.0737,146.9135,14.1,20.9,0
18/12/2008,Albury,New South Wales,-36.0737,146.9135,13.5,22.9,16.8
19/12/2008,Albury,New South Wales,-36.0737,146.9135,11.2,22.5,10.6
20/12/2008,Albury,New South Wales,-36.0737,146.9135,9.8,25.6,0
21/12/2008,Albury,New South Wales,-36.0737,146.9135,11.5,29.3,0
22/12/2008,Albury,New South Wales,-36.0737,146.9135,17.1,33,0
23/12/2008,Albury,New South Wales,-36.0737,146.9135,20.5,31.8,0
24/12/2008,Albury,New South Wales,-36.0737,146.9135,15.3,30.9,0
25/12/2008,Albury,New South Wales,-36.0737,146.9135,12.6,32.4,0
26/12/2008,Albury,New South Wales,-36.0737,146.9135,16.2,33.9,0
27/12/2008,Albury,New South Wales,-36.0737,146.9135,16.9,33,0
28/12/2008,Albury,New South Wales,-36.0737,146.9135,20.1,32.7,0
29/12/2008,Albury,New South Wales,-36.0737,146.9135,19.7,27.2,0
30/12/2008,Albury,New South Wales,-36.0737,146.9135,12.5,24.2,1.2
31/12/2008,Albury,New South Wales,-36.0737,146.9135,12,24.4,0.8
1/01/2009,Albury,New South Wales,-36.0737,146.9135,11.3,26.5,0
2/01/2009,Albury,New South Wales,-36.0737,146.9135,9.6,23.9,0
3/01/2009,Albury,New South Wales,-36.0737,146.9135,10.5,28.8,0
4/01/2009,Albury,New South Wales,-36.0737,146.9135,12.3,34.6,0
5/01/2009,Albury,New South Wales,-36.0737,146.9135,12.9,35.8,0
6/01/2009,Albury,New South Wales,-36.0737,146.9135,13.7,37.9,0
7/01/2009,Albury,New South Wales,-36.0737,146.9135,16.1,38.9,0
8/01/2009,Albury,New South Wales,-36.0737,146.9135,14,28.3,0
9/01/2009,Albury,New South Wales,-36.0737,146.9135,12.5,28.4,0
10/01/2009,Albury,New South Wales,-36.0737,146.9135,17,30.8,0
11/01/2009,Albury,New South Wales,-36.0737,146.9135,16.9,32,0
12/01/2009,Albury,New South Wales,-36.0737,146.9135,17.3,34.7,0
13/01/2009,Albury,New South Wales,-36.0737,146.9135,17.2,37.7,0
14/01/2009,Albury,New South Wales,-36.0737,146.9135,17.4,43,0
15/01/2009,Albury,New South Wales,-36.0737,146.9135,19.8,32.7,0
16/01/2009,Albury,New South Wales,-36.0737,146.9135,14.9,26.7,0
17/01/2009,Albury,New South Wales,-36.0737,146.9135,10.5,28.4,0
18/01/2009,Albury,New South Wales,-36.0737,146.9135,11.3,32.2,0
19/01/2009,Albury,New South Wales,-36.0737,146.9135,13.9,36.6,0
20/01/2009,Albury,New South Wales,-36.0737,146.9135,18.6,39.9,0
21/01/2009,Albury,New South Wales,-36.0737,146.9135,19.3,38.1,0.8
22/01/2009,Albury,New South Wales,-36.0737,146.9135,24.4,34,0.6
23/01/2009,Albury,New South Wales,-36.0737,146.9135,18.8,35.2,6.4
24/01/2009,Albury,New South Wales,-36.0737,146.9135,20.8,30.6,0
25/01/2009,Albury,New South Wales,-36.0737,146.9135,14,34.3,0
26/01/2009,Albury,New South Wales,-36.0737,146.9135,15.7,38.4,0
27/01/2009,Albury,New South Wales,-36.0737,146.9135,18.5,38.2,0
28/01/2009,Albury,New South Wales,-36.0737,146.9135,20.4,40.7,0
29/01/2009,Albury,New South Wales,-36.0737,146.9135,21.8,41.5,0
30/01/2009,Albury,New South Wales,-36.0737,146.9135,22.3,42.9,0
31/01/2009,Albury,New South Wales,-36.0737,146.9135,22,42.7,0
1/02/2009,Albury,New South Wales,-36.0737,146.9135,28,43.1,0
2/02/2009,Albury,New South Wales,-36.0737,146.9135,24.4,38.3,0.2
3/02/2009,Albury,New South Wales,-36.0737,146.9135,21.5,37.7,0
4/02/2009,Albury,New South Wales,-36.0737,146.9135,21.7,36.9,0
5/02/2009,Albury,New South Wales,-36.0737,146.9135,21.5,41.2,0
6/02/2009,Albury,New South Wales,-36.0737,146.9135,23.5,42.2,0
7/02/2009,Albury,New South Wales,-36.0737,146.9135,22.3,44.8,0
8/02/2009,Albury,New South Wales,-36.0737,146.9135,28.3,40.2,0
9/02/2009,Albury,New South Wales,-36.0737,146.9135,18.4,31.2,0.4
10/02/2009,Albury,New South Wales,-36.0737,146.9135,14.9,27.3,0
11/02/2009,Albury,New South Wales,-36.0737,146.9135,13.5,26.7,0
12/02/2009,Albury,New South Wales,-36.0737,146.9135,16.1,21.6,0
